Categoria: Todas as categorias

País,Afghanistan Earthquake: (01/01/2023 – 30/09/2024)
Afeganistão,100
Paquistão,4
Tadjiquistão,3
Emirados Árabes Unidos,2
Nepal,2
Trinidad e Tobago,2
Sri Lanka,1
Catar,1
Omã,1
Barein,1
Índia,1
Jamaica,1
Líbano,1
Luxemburgo,
Irlanda,1
Kuwait,1
Chipre,1
Gana,1
Canadá,1
Singapura,<1
Austrália,<1
Bangladesh,<1
Nova Zelândia,<1
Reino Unido,<1
Estados Unidos,<1
Quênia,<1
Filipinas,<1
África do Sul,<1
Jordânia,<1
Malásia,<1
Uzbequistão,<1
Iraque,<1
Arábia Saudita,<1
Bélgica,<1
Suíça,<1
Egito,<1
Marrocos,<1
Nigéria,<1
Suécia,<1
Hong Kong,<1
Países Baixos,<1
Bulgária,
Israel,<1
Noruega,<1
Croácia,
Dinamarca,<1
Sérvia,
Grécia,<1
Cazaquistão,<1
Romênia,<1
Coreia do Sul,<1
Turquia,<1
Alemanha,<1
Finlândia,
Áustria,
Tailândia,<1
Irã,<1
Taiwan,<1
Vietnã,<1
Itália,<1
Indonésia,<1
França,<1
Espanha,<1
Polônia,<1
Rússia,
México,<1
Japão,<1
Brasil,
Aruba,
Zimbábue,
Estônia,
Etiópia,
Eritreia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Equador,
Ilhas Faroé,
Micronésia,
Gabão,
Argélia,
Geórgia,
Guernsey,
República Dominicana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Dominica,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Djibuti,
Ilhas Heard e McDonald,
Honduras,
Tchéquia,
Haiti,
Hungria,
Ilhas Cayman,
Ilha de Man,
Ilha Christmas,
Território Britânico do Oceano Índico,
Curaçao,
Cuba,
Costa Rica,
Islândia,
Cabo Verde,
Comores,
Colômbia,
Jersey,
Ilhas Cook,
República do Congo,
Congo - Kinshasa,
Camarões,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Costa do Marfim,
China,
Laos,
Chile,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Ilhas Cocos (Keeling),
Lesoto,
Lituânia,
República Centro-Africana,
Letônia,
Macau,
São Martinho,
Botsuana,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Ilha Bouvet,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Butão,
Mayotte,
Saara Ocidental,
Nova Caledônia,
Níger,
Ilha Norfolk,
Brunei,
Nicarágua,
Niue,
Barbados,
Bolívia,
Bermudas,
Nauru,
Belize,
Bielorrússia,
São Bartolomeu,
Panamá,
Ilhas Pitcairn,
Peru,
Bósnia e Herzegovina,
Palau,
Papua-Nova Guiné,
Bahamas,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Burquina Faso,
Reunião,
Países Baixos Caribenhos,
Benin,
Ruanda,
Burundi,
Sudão,
Senegal,
Azerbaijão,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Antígua e Barbuda,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Territórios Franceses do Sul,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Antártida,
Samoa Americana,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Armênia,
Tunísia,
Argentina,
Tuvalu,
Andorra,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Albânia,
Ilhas Aland,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Anguila,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Namíbia,
