Categoria: Todas as categorias

País,China Flood: (01/01/2021 – 30/11/2022)
Butão,
Singapura,100
Mauritânia,
Malásia,47
China,42
Mianmar (Birmânia),42
Paquistão,31
Maurício,
Filipinas,28
Índia,26
Emirados Árabes Unidos,18
Catar,18
Hong Kong,18
Omã,
Austrália,18
Estados Unidos,15
Trinidad e Tobago,
Canadá,15
Etiópia,
Nepal,13
Quirguistão,
Tanzânia,
Camboja,10
Nova Zelândia,10
Sri Lanka,10
Nigéria,7
Bangladesh,7
Kuwait,
Gana,
Reino Unido,5
África do Sul,5
Quênia,5
Eslovênia,
Irlanda,5
Noruega,5
Coreia do Sul,2
Suíça,2
Tailândia,2
Sérvia,
Países Baixos,2
Indonésia,2
Arábia Saudita,2
Taiwan,2
Finlândia,
Suécia,2
Áustria,
Vietnã,<1
Equador,
Tchéquia,
Dinamarca,
Romênia,
Portugal,<1
Alemanha,<1
Polônia,<1
Egito,
Bélgica,<1
Rússia,<1
Ucrânia,
França,<1
Turquia,<1
México,<1
Japão,<1
Espanha,
Itália,<1
Irã,
Brasil,<1
Líbano,
Zimbábue,
Saara Ocidental,
Argélia,
Estônia,
República Dominicana,
Dominica,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Djibuti,
Ilhas Faroé,
Micronésia,
Gabão,
Chipre,
Geórgia,
Guernsey,
Ilhas Cayman,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Ilha Christmas,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Curaçao,
Ilha de Man,
Cuba,
Território Britânico do Oceano Índico,
Costa Rica,
Cabo Verde,
Iraque,
Islândia,
Israel,
Comores,
Jamaica,
Jersey,
Jordânia,
Colômbia,
Cazaquistão,
Ilhas Cook,
República do Congo,
Congo - Kinshasa,
Quiribati,
São Cristóvão e Névis,
Camarões,
Costa do Marfim,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Chile,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Ilhas Cocos (Keeling),
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
República Centro-Africana,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Botsuana,
Montserrat,
Martinica,
Ilha Bouvet,
Malaui,
Brunei,
Eritreia,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Barbados,
Nicarágua,
Niue,
Bolívia,
Bermudas,
Belize,
Nauru,
Bielorrússia,
São Bartolomeu,
Bósnia e Herzegovina,
Panamá,
Ilhas Pitcairn,
Peru,
Bahamas,
Palau,
Papua-Nova Guiné,
Barein,
Porto Rico,
Coreia do Norte,
Bulgária,
Paraguai,
Palestina,
Polinésia Francesa,
Burquina Faso,
Reunião,
Países Baixos Caribenhos,
Benin,
Ruanda,
Burundi,
Sudão,
Senegal,
Azerbaijão,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Antígua e Barbuda,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Territórios Franceses do Sul,
Antártida,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Samoa Americana,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Armênia,
Tunísia,
Argentina,
Tuvalu,
Andorra,
Albânia,
Uganda,
Ilhas Aland,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Mayotte,
