Categoria: Todas as categorias

País,China Flood: (01/01/2020 – 30/11/2021)
Singapura,100
Butão,
Fiji,
Brunei,56
China,38
Malásia,35
Mianmar (Birmânia),32
Namíbia,
Índia,26
Maurício,
Filipinas,22
Hong Kong,16
Paquistão,15
Catar,15
Austrália,15
Omã,15
Jamaica,
Canadá,14
Emirados Árabes Unidos,14
Estados Unidos,12
Barein,
Luxemburgo,
Nepal,11
Nova Zelândia,11
Trinidad e Tobago,
Sri Lanka,8
Camboja,
Coreia do Sul,8
Kuwait,8
Gana,
Uganda,
Nigéria,5
Bangladesh,5
Reino Unido,4
Irlanda,4
África do Sul,4
Eslovênia,
Quênia,
Tailândia,4
Taiwan,2
Finlândia,2
Suíça,2
Vietnã,2
Noruega,2
Indonésia,1
Suécia,1
Arábia Saudita,1
Países Baixos,1
Áustria,1
Tchéquia,1
Dinamarca,
Alemanha,<1
Romênia,
Polônia,<1
Bélgica,
Cazaquistão,
Grécia,
Japão,<1
França,<1
México,<1
Itália,<1
Turquia,<1
Irã,
Espanha,<1
Colômbia,
Rússia,
Brasil,<1
Líbano,
Zimbábue,
Eritreia,
Estônia,
Etiópia,
Egito,
Equador,
Ilhas Malvinas (Ilhas Falkland),
Argélia,
Ilhas Faroé,
Micronésia,
Gabão,
República Dominicana,
Geórgia,
Guernsey,
Dominica,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Djibuti,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Chipre,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Ilhas Cayman,
Ilha de Man,
Ilha Christmas,
Território Britânico do Oceano Índico,
Curaçao,
Cuba,
Iraque,
Islândia,
Israel,
Costa Rica,
Cabo Verde,
Jersey,
Jordânia,
Comores,
Ilhas Cook,
República do Congo,
Quirguistão,
Congo - Kinshasa,
Quiribati,
São Cristóvão e Névis,
Camarões,
Costa do Marfim,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Chile,
Lesoto,
Lituânia,
Ilhas Cocos (Keeling),
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
República Centro-Africana,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Botsuana,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Ilha Bouvet,
Malaui,
Barbados,
Mayotte,
Saara Ocidental,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bermudas,
Nicarágua,
Niue,
Belize,
Bielorrússia,
São Bartolomeu,
Nauru,
Bósnia e Herzegovina,
Bahamas,
Bulgária,
Panamá,
Ilhas Pitcairn,
Peru,
Burquina Faso,
Palau,
Papua-Nova Guiné,
Países Baixos Caribenhos,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Benin,
Reunião,
Burundi,
Azerbaijão,
Ruanda,
Antígua e Barbuda,
Sudão,
Senegal,
Territórios Franceses do Sul,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Antártida,
Samoa Americana,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Armênia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Argentina,
Tunísia,
Andorra,
Tuvalu,
Albânia,
Tanzânia,
Ilhas Aland,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Bolívia,
