Categoria: Todas as categorias

País,Hurricane Ian: (01/01/2022 – 30/06/2023)
Ilhas Malvinas (Ilhas Falkland),
Ilhas Cayman,
Bermudas,
Ilhas Virgens Americanas,
Estados Unidos,100
Ilhas Virgens Britânicas,
Bahamas,
Ilhas Turcas e Caicos,
Sint Maarten,
Aruba,
Belize,
São Cristóvão e Névis,
Dominica,
Antígua e Barbuda,
Ilhas Marianas do Norte,
Granada,
Jamaica,
Países Baixos Caribenhos,
Barbados,
Canadá,27
São Martinho,
Porto Rico,26
Santa Lúcia,
Curaçao,
Trinidad e Tobago,
Gibraltar,
São Vicente e Granadinas,
Guam,
Ilha de Man,
Guiana,
Guernsey,
Jersey,
Islândia,
Irlanda,8
Suriname,
Cuba,
Reino Unido,6
Nova Zelândia,
Santa Helena,
Austrália,4
Albânia,
Costa Rica,
Panamá,
Malta,
África do Sul,4
Suíça,
Maldivas,
Namíbia,
Fiji,
Honduras,
República Dominicana,
Nicarágua,
Macedônia do Norte,
Suécia,
Israel,
Singapura,
Botsuana,
Noruega,
Alemanha,2
Zimbábue,
Haiti,
Luxemburgo,
Kosovo,
Chipre,
Áustria,
Líbano,
Finlândia,
Estônia,
Dinamarca,
Países Baixos,
Portugal,
Catar,
Maurício,
Emirados Árabes Unidos,
Filipinas,1
Guatemala,
Quênia,
Croácia,
Grécia,
Tchéquia,
Hungria,
Barein,
El Salvador,
China,
Kuwait,
Eslovênia,
Gana,
Nigéria,
Letônia,
México,1
Zâmbia,
Hong Kong,
Uganda,
Bélgica,
Equador,
Colômbia,
Jordânia,
Uruguai,
Lituânia,
Romênia,
Eslováquia,
Sérvia,
Bulgária,
Venezuela,
Espanha,
Etiópia,
Itália,<1
Camboja,
Coreia do Sul,
Laos,
Bósnia e Herzegovina,
Palestina,
Tanzânia,
Peru,
Sudão,
França,<1
Malásia,
Bolívia,
Armênia,
Mianmar (Birmânia),
Paraguai,
Brasil,<1
Omã,
Argentina,
Chile,
Geórgia,
Sri Lanka,
Egito,
Paquistão,
Polônia,
Moldávia,
Iraque,
Arábia Saudita,
Marrocos,
Nepal,
Taiwan,
Índia,<1
Tailândia,
Tunísia,
Uzbequistão,
Bangladesh,
Argélia,
Turquia,
Indonésia,
Vietnã,
Japão,
Rússia,
Bielorrússia,
Ucrânia,
Cazaquistão,
Irã,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Djibuti,
Malaui,
Mongólia,
Mayotte,
Ilha Christmas,
Nova Caledônia,
Níger,
Ilha Norfolk,
Cabo Verde,
Comores,
Niue,
Ilhas Cook,
República do Congo,
Montenegro,
Nauru,
Congo - Kinshasa,
Mali,
Eritreia,
Camarões,
Ilhas Pitcairn,
Ilhas Marshall,
Costa do Marfim,
Palau,
Papua-Nova Guiné,
Saara Ocidental,
Madagascar,
Coreia do Norte,
Ilhas Cocos (Keeling),
Mônaco,
Ilhas Faroé,
Polinésia Francesa,
República Centro-Africana,
Reunião,
Ilha Bouvet,
Macau,
Ruanda,
Micronésia,
Gabão,
Senegal,
Butão,
Ilhas Geórgia do Sul e Sandwich do Sul,
Brunei,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Lesoto,
San Marino,
Somália,
São Pedro e Miquelão,
Liechtenstein,
Sudão do Sul,
São Tomé e Príncipe,
Guiné,
São Bartolomeu,
Líbia,
Angola,
Essuatíni,
Burquina Faso,
Seicheles,
Síria,
Benin,
Chade,
Togo,
Guadalupe,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Burundi,
Gâmbia,
Guiné-Bissau,
Tuvalu,
Guiné Equatorial,
Groenlândia,
Azerbaijão,
Quiribati,
Ilhas Menores Distantes dos EUA,
Territórios Franceses do Sul,
Antártida,
Guiana Francesa,
Cidade do Vaticano,
Samoa Americana,
Quirguistão,
Ilhas Heard e McDonald,
Andorra,
Território Britânico do Oceano Índico,
Vanuatu,
Wallis e Futuna,
Samoa,
Ilhas Aland,
Iêmen,
Libéria,
Afeganistão,
Anguila,
