Categoria: Todas as categorias

País,Bangladesh Flood: (01/01/2020 – 30/11/2021)
Bangladesh,100
Singapura,3
Emirados Árabes Unidos,1
Reino Unido,1
Sri Lanka,1
Austrália,<1
Malásia,<1
Paquistão,<1
Irlanda,<1
Índia,<1
Filipinas,<1
Canadá,<1
Países Baixos,<1
Coreia do Sul,<1
Tailândia,<1
Estados Unidos,<1
Vietnã,<1
Alemanha,<1
Indonésia,<1
Itália,<1
França,<1
Japão,<1
Líbano,
Zimbábue,
Barein,
Bahamas,
Bósnia e Herzegovina,
São Bartolomeu,
Bielorrússia,
Belize,
Bermudas,
Bolívia,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Burquina Faso,
Ilhas Cocos (Keeling),
Suíça,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Países Baixos Caribenhos,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Benin,
Ilhas Faroé,
Micronésia,
Gabão,
Bélgica,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Burundi,
Ilha de Man,
Azerbaijão,
Território Britânico do Oceano Índico,
Áustria,
Irã,
Iraque,
Islândia,
Israel,
Antígua e Barbuda,
Jamaica,
Jersey,
Jordânia,
Territórios Franceses do Sul,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Antártida,
Kuwait,
Laos,
Aruba,
Libéria,
Líbia,
Santa Lúcia,
Liechtenstein,
Samoa Americana,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
Bulgária,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Armênia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Argentina,
Noruega,
Nepal,
Nauru,
Nova Zelândia,
Omã,
Andorra,
Panamá,
Ilhas Pitcairn,
Peru,
Albânia,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Ilhas Aland,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Anguila,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Angola,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
África do Sul,
Zâmbia,
São Martinho,
