Categoria: Todas as categorias

País,China Flood: (01/01/2022 – 30/06/2023)
Singapura,100
China,66
Mianmar (Birmânia),50
Paquistão,50
Malásia,41
Austrália,41
Hong Kong,33
Filipinas,25
Nova Zelândia,25
Nigéria,25
Nepal,25
Estados Unidos,16
Canadá,16
Emirados Árabes Unidos,16
África do Sul,16
Irlanda,16
Noruega,16
Quênia,16
Bangladesh,8
Índia,8
Reino Unido,8
Coreia do Sul,8
Vietnã,8
Países Baixos,<1
Suíça,<1
Suécia,<1
Tailândia,<1
Indonésia,<1
Alemanha,<1
Turquia,<1
Polônia,
Espanha,<1
Rússia,<1
França,<1
México,<1
Itália,<1
Japão,<1
Brasil,<1
Líbano,
Zimbábue,
Ilhas Cocos (Keeling),
Botsuana,
Chile,
Ilha Bouvet,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Butão,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Brunei,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Barbados,
Ilhas Faroé,
Micronésia,
Gabão,
Bolívia,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Bermudas,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Belize,
Ilha de Man,
Bielorrússia,
Território Britânico do Oceano Índico,
São Bartolomeu,
Irã,
Iraque,
Islândia,
Israel,
Bósnia e Herzegovina,
Jamaica,
Jersey,
Jordânia,
Bahamas,
Cazaquistão,
Barein,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Bulgária,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Burquina Faso,
Ilhas Marshall,
República Centro-Africana,
Mali,
Malta,
Países Baixos Caribenhos,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Benin,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bélgica,
Nicarágua,
Niue,
Burundi,
Azerbaijão,
Áustria,
Nauru,
Antígua e Barbuda,
Omã,
Territórios Franceses do Sul,
Panamá,
Ilhas Pitcairn,
Peru,
Antártida,
Palau,
Papua-Nova Guiné,
Samoa Americana,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Armênia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Argentina,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Andorra,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Albânia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Ilhas Aland,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Macedônia do Norte,
