Categoria: Todas as categorias

País,India Flood: (01/01/2021 – 30/11/2022)
Índia,100
Paquistão,40
Emirados Árabes Unidos,31
Barein,
Catar,26
Nepal,24
Singapura,24
Omã,24
Maurício,
Kuwait,20
Etiópia,
Bangladesh,13
Austrália,8
Sri Lanka,6
Canadá,6
Nova Zelândia,6
Malásia,6
Nigéria,4
Irlanda,4
Reino Unido,4
África do Sul,4
Hong Kong,4
Filipinas,4
Quênia,
Arábia Saudita,2
Estados Unidos,2
Noruega,2
Dinamarca,
Israel,
Suécia,
Coreia do Sul,
Países Baixos,
Bélgica,
Tailândia,<1
Alemanha,<1
Vietnã,<1
Indonésia,<1
Taiwan,
Irã,
Itália,
Espanha,
Polônia,
França,<1
México,
Japão,<1
Turquia,
Líbano,
Zimbábue,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Congo - Kinshasa,
Djibuti,
Dominica,
Camarões,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Costa do Marfim,
Estônia,
China,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Chile,
Ilhas Faroé,
Micronésia,
Gabão,
Suíça,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Ilhas Cocos (Keeling),
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
República Centro-Africana,
Ilha de Man,
Botsuana,
Território Britânico do Oceano Índico,
Ilha Bouvet,
Butão,
Iraque,
Islândia,
Brunei,
Barbados,
Jamaica,
Jersey,
Jordânia,
Brasil,
Cazaquistão,
Bolívia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Bermudas,
Belize,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Bielorrússia,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
São Bartolomeu,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
República do Congo,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Bósnia e Herzegovina,
Malaui,
Bahamas,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bulgária,
Nicarágua,
Niue,
Burquina Faso,
Países Baixos Caribenhos,
Benin,
Nauru,
Burundi,
Azerbaijão,
Áustria,
Panamá,
Ilhas Pitcairn,
Peru,
Antígua e Barbuda,
Palau,
Papua-Nova Guiné,
Territórios Franceses do Sul,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Antártida,
Reunião,
Romênia,
Rússia,
Ruanda,
Samoa Americana,
Sudão,
Senegal,
Armênia,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Argentina,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Andorra,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Albânia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Montenegro,
