Categoria: Todas as categorias

País,India Flood: (01/01/2023 – 30/09/2024)
Vanuatu,
Índia,100
Maurício,56
Maldivas,
Emirados Árabes Unidos,39
Nepal,34
Catar,34
Bangladesh,34
Omã,
Barein,
Singapura,24
Paquistão,21
Kuwait,19
Etiópia,
Mianmar (Birmânia),
Djibuti,
Nova Zelândia,9
Malásia,9
Sri Lanka,9
Austrália,9
Canadá,9
Butão,
Nigéria,7
Gana,
Reino Unido,4
Irlanda,4
Filipinas,4
Quênia,
Estados Unidos,4
Arábia Saudita,4
Hong Kong,
África do Sul,2
Noruega,
Países Baixos,<1
Suécia,
Bélgica,
Tailândia,<1
Alemanha,<1
Coreia do Sul,
Vietnã,<1
Taiwan,
Itália,<1
Indonésia,<1
Espanha,
Polônia,
Irã,
Japão,<1
França,<1
Turquia,
Azerbaijão,
Rússia,
Brasil,
Líbano,
Zimbábue,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Costa Rica,
Cabo Verde,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Comores,
Estônia,
Colômbia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Ilhas Cook,
Ilhas Faroé,
Micronésia,
Gabão,
República do Congo,
Geórgia,
Guernsey,
Congo - Kinshasa,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Camarões,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Costa do Marfim,
Ilha de Man,
China,
Território Britânico do Oceano Índico,
Chile,
Suíça,
Iraque,
Islândia,
Israel,
Ilhas Cocos (Keeling),
Jamaica,
Jersey,
Jordânia,
República Centro-Africana,
Cazaquistão,
Botsuana,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Ilha Bouvet,
Brunei,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Barbados,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Bolívia,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Bermudas,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Cuba,
Mauritânia,
Montserrat,
Martinica,
Belize,
Malaui,
Bielorrússia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
São Bartolomeu,
Nicarágua,
Niue,
Bósnia e Herzegovina,
Bahamas,
Bulgária,
Nauru,
Burquina Faso,
Países Baixos Caribenhos,
Benin,
Panamá,
Ilhas Pitcairn,
Peru,
Burundi,
Palau,
Papua-Nova Guiné,
Áustria,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Antígua e Barbuda,
Reunião,
Romênia,
Territórios Franceses do Sul,
Ruanda,
Antártida,
Sudão,
Senegal,
Samoa Americana,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Armênia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Argentina,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Andorra,
Tuvalu,
Albânia,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Ilhas Aland,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Anguila,
Afeganistão,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Moçambique,
