Categoria: Todas as categorias

País,India Flood: (01/01/2022 – 30/11/2023)
Micronésia,
Índia,100
Butão,
Fiji,
Maurício,42
Paquistão,42
Emirados Árabes Unidos,31
Catar,26
Nepal,26
Barein,
Omã,20
Kuwait,20
Singapura,20
Bangladesh,17
Etiópia,
Chipre,
Austrália,8
Nova Zelândia,8
Canadá,8
Gana,
Nigéria,8
Malásia,6
Sri Lanka,
Reino Unido,4
Irlanda,4
Filipinas,4
Quênia,
Hong Kong,
Estados Unidos,2
África do Sul,2
Arábia Saudita,2
Noruega,
Suécia,
Países Baixos,<1
Coreia do Sul,
Tchéquia,
Finlândia,
Suíça,
Alemanha,<1
Tailândia,<1
Egito,
Vietnã,<1
Indonésia,<1
Taiwan,
Itália,<1
Espanha,
Irã,
França,<1
Japão,<1
Brasil,
Líbano,
Zimbábue,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Comores,
Colômbia,
Ilhas Cook,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
República do Congo,
Eritreia,
Saara Ocidental,
Congo - Kinshasa,
Estônia,
Camarões,
Costa do Marfim,
China,
Ilhas Malvinas (Ilhas Falkland),
Chile,
Ilhas Faroé,
Ilhas Cocos (Keeling),
Gabão,
República Centro-Africana,
Geórgia,
Guernsey,
Botsuana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Ilha Bouvet,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Brunei,
Ilha de Man,
Barbados,
Território Britânico do Oceano Índico,
Bolívia,
Bermudas,
Iraque,
Islândia,
Israel,
Belize,
Jamaica,
Jersey,
Jordânia,
Bielorrússia,
Cazaquistão,
São Bartolomeu,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Bósnia e Herzegovina,
Bahamas,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Bulgária,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Cabo Verde,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Burquina Faso,
Malaui,
Países Baixos Caribenhos,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Benin,
Nicarágua,
Niue,
Bélgica,
Burundi,
Azerbaijão,
Nauru,
Áustria,
Antígua e Barbuda,
Territórios Franceses do Sul,
Panamá,
Ilhas Pitcairn,
Peru,
Antártida,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Samoa Americana,
Reunião,
Romênia,
Rússia,
Ruanda,
Armênia,
Sudão,
Senegal,
Argentina,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Andorra,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Albânia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Ilhas Marianas do Norte,
