Categoria: Todas as categorias

País,Hurricane Laura: (01/01/2020 – 30/11/2021)
Ilhas Virgens Americanas,
Bermudas,
Dominica,
Ilhas Cayman,
Ilhas Turcas e Caicos,
Ilhas Virgens Britânicas,
Estados Unidos,100
Sint Maarten,
São Cristóvão e Névis,
Belize,
Bahamas,
Antígua e Barbuda,
Porto Rico,38
Santa Lúcia,
Canadá,32
Jamaica,
Guernsey,
Cuba,
Trinidad e Tobago,
Aruba,
Curaçao,
Barbados,
Ilha de Man,
Guam,
Guadalupe,
Jersey,
Haiti,
Guiana,
Santa Helena,
Irlanda,9
Nova Zelândia,7
Malta,
Islândia,
Austrália,6
Reino Unido,6
África do Sul,5
Zimbábue,
Quênia,
República Dominicana,
Finlândia,
Suíça,
Singapura,
Áustria,
Suécia,3
Barein,
Noruega,
Luxemburgo,
Costa Rica,
Panamá,
Catar,
Honduras,
Estônia,
Líbano,
Emirados Árabes Unidos,
Kuwait,
Filipinas,
Dinamarca,
Países Baixos,1
El Salvador,
Macedônia do Norte,
Letônia,
Croácia,
Hong Kong,
Chipre,
Alemanha,1
China,
Israel,
Portugal,
Tanzânia,
Nigéria,
Gana,
México,1
Guatemala,
Bélgica,
Bósnia e Herzegovina,
Nepal,
Coreia do Sul,
Eslovênia,
Paquistão,
Hungria,
Lituânia,
Romênia,
Malásia,
Jordânia,
Itália,<1
Sérvia,
Grécia,
Bangladesh,
Bulgária,
Eslováquia,
Tchéquia,
Índia,<1
Espanha,
Arábia Saudita,
Colômbia,
França,
Venezuela,
Polônia,
Marrocos,
Iraque,
Equador,
Egito,
Brasil,<1
Taiwan,
Peru,
Chile,
Tailândia,
Vietnã,
Argentina,
Indonésia,
Japão,
Turquia,
Ucrânia,
Rússia,
Irã,
Laos,
Afeganistão,
Território Britânico do Oceano Índico,
Quirguistão,
Camboja,
Quiribati,
Ilhas Heard e McDonald,
Guiana Francesa,
Groenlândia,
Granada,
Guiné Equatorial,
Angola,
Líbia,
Guiné-Bissau,
Liechtenstein,
Sri Lanka,
Lesoto,
Gâmbia,
Guiné,
Gibraltar,
Macau,
São Martinho,
Geórgia,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Gabão,
Ilhas Marshall,
Micronésia,
Mali,
Ilhas Faroé,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Ilhas Malvinas (Ilhas Falkland),
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Fiji,
Nicarágua,
Niue,
Etiópia,
Saara Ocidental,
Eritreia,
Nauru,
Argélia,
Omã,
Djibuti,
Ilha Christmas,
Ilhas Pitcairn,
Cabo Verde,
Comores,
Palau,
Papua-Nova Guiné,
Ilhas Cook,
República do Congo,
Coreia do Norte,
Congo - Kinshasa,
Cazaquistão,
Palestina,
Polinésia Francesa,
Camarões,
Reunião,
Costa do Marfim,
Ilhas Cocos (Keeling),
Ruanda,
República Centro-Africana,
Sudão,
Senegal,
Botsuana,
Ilhas Geórgia do Sul e Sandwich do Sul,
Ilha Bouvet,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Butão,
San Marino,
Somália,
São Pedro e Miquelão,
Brunei,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Bolívia,
Bielorrússia,
São Bartolomeu,
Essuatíni,
Burquina Faso,
Seicheles,
Síria,
Países Baixos Caribenhos,
Chade,
Togo,
Benin,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Burundi,
Tunísia,
Azerbaijão,
Tuvalu,
Territórios Franceses do Sul,
Antártida,
Uganda,
Samoa Americana,
Ilhas Menores Distantes dos EUA,
Uruguai,
Armênia,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Andorra,
Albânia,
Ilhas Aland,
Anguila,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Paraguai,
